timestamps,x,y,z
1438024582929,-1.05940246582,5.2551574707,8.33009338379
1438024582934,-0.842468261719,5.43312072754,7.86181640625
1438024582938,-0.842468261719,5.43312072754,7.86181640625
1438024582942,-0.842468261719,5.43312072754,7.86181640625
1438024582946,-1.11526489258,5.49609375,7.7975769043
1438024582950,-0.950439453125,5.60513305664,7.91455078125
1438024582963,-0.314605712891,5.19960021973,8.15846252441
1438024582975,-0.314605712891,5.19960021973,8.15846252441
1438024582994,-0.38801574707,5.42878723145,8.1075592041
1438024583002,-0.38801574707,5.42878723145,8.1075592041
1438024583007,-0.353561401367,5.42913818359,8.16598510742
1438024583015,-1.05836486816,5.46174621582,7.72222900391
1438024583020,-1.05836486816,5.46174621582,7.72222900391
1438024583031,-0.592651367188,5.61408996582,7.84707641602
1438024583038,-0.592651367188,5.61408996582,7.84707641602
1438024583044,-0.165390014648,5.73414611816,7.92953491211
1438024583047,-0.804885864258,5.86521911621,7.58491516113
1438024583051,-0.804885864258,5.86521911621,7.58491516113
1438024583140,-1.16943359375,5.81985473633,7.46903991699
1438024583293,-0.371566772461,5.55323791504,8.0218963623
1438024583473,0.080810546875,5.46170043945,8.03370666504
1438024583527,0.080810546875,5.46170043945,8.03370666504
1438024583672,0.080810546875,5.46170043945,8.03370666504
1438024583714,0.0935516357422,5.25798034668,8.2064666748
1438024583771,0.0935516357422,5.25798034668,8.2064666748
1438024583895,0.033447265625,4.96171569824,8.50068664551
1438024583963,0.033447265625,4.96171569824,8.50068664551
1438024584062,0.033447265625,4.96171569824,8.50068664551
1438024584075,0.104202270508,5.05213928223,8.26171875
1438024584160,0.104202270508,5.05213928223,8.26171875
1438024584316,0.418746948242,5.33450317383,7.81842041016
1438024584497,0.469329833984,5.32655334473,8.04356384277
